雪鹑属	雪鹑
山鹑属	灰山鹑
潜鸭属	帆背潜鸭
柳莺属	黄胸柳莺
柳莺属	黑眉柳莺
鹟莺属	金眶鹟莺
鹟莺属	灰头鹟莺
鹟莺属	白眶鹟莺
鹟莺属	灰脸鹟莺
鹟莺属	栗头鹟莺
宽嘴鹟莺属	宽嘴鹟莺
鹟莺属	棕脸鹟莺
鹟莺属	黑脸鹟莺
潜鸭属	白眼潜鸭
鹟莺属	黄腹鹟莺
大尾莺属	沼泽大尾莺
大草莺属	大草莺
噪鹛属	黑脸噪鹛
噪鹛属	白喉噪鹛
噪鹛属	白冠噪鹛
噪鹛属	小黑领噪鹛
噪鹛属	黑领噪鹛
噪鹛属	条纹噪鹛
噪鹛属	白颈噪鹛
潜鸭属	青头潜鸭
噪鹛属	褐胸噪鹛
噪鹛属	栗颈噪鹛
噪鹛属	黑喉噪鹛
噪鹛属	黄喉噪鹛
噪鹛属	栗臀噪鹛
噪鹛属	山噪鹛
噪鹛属	黑额山噪鹛
噪鹛属	灰翅噪鹛
噪鹛属	棕颏噪鹛
噪鹛属	斑背噪鹛
噪鹛属	白点鹛
噪鹛属	大噪鹛
噪鹛属	眼纹噪鹛
噪鹛属	灰胁噪鹛
噪鹛属	棕噪鹛
噪鹛属	斑胸噪鹛
噪鹛属	画眉
噪鹛属	白颊噪鹛
噪鹛属	细纹噪鹛
噪鹛属	蓝翅噪鹛
潜鸭属	斑背潜鸭
噪鹛属	纯色噪鹛
噪鹛属	橙翅噪鹛
噪鹛属	杂色噪鹛
噪鹛属	灰腹噪鹛
噪鹛属	黑顶噪鹛
噪鹛属	玉山噪鹛
噪鹛属	红头噪鹛
噪鹛属	丽色噪鹛
噪鹛属	赤尾噪鹛
薮鹛属	红翅薮鹛
小绒鸭属	小绒鸭
薮鹛属	灰胸薮鹛
薮鹛属	黄痣薮鹛
雅鹛属	棕胸雅鹛
幽鹛属	白腹幽鹛
幽鹛属	棕头幽鹛
钩嘴鹛属	长嘴钩嘴鹛
钩嘴鹛属	斑胸钩嘴鹛
钩嘴鹛属	锈脸钩嘴鹛
钩嘴鹛属	灰头钩嘴鹛
钩嘴鹛属	棕颈钩嘴鹛
丑鸭属	丑鸭
钩嘴鹛属	棕头钩嘴鹛
